A,B
fancd2,ddx17
fancd2,uba2
fancd2,psme3
fancd2,rps3
fancd2,sf3b3
fancd2,rpl27a
fancd2,baz1a
fancd2,smc1a
fancd2,smc3
fancd2,rest
fancd2,lrpprc
fancd2,use1
fancd2,cdc37
fancd2,myo5b
fancd2,prkcb
fancd2,ywhaq
fancd2,mfn1
fancd2,clu
fancd2,tor1a
fancd2,pa2g4
fancd2,dock10
fancd2,ruvbl2
fancd2,ruvbl1
fancd2,ubr5
fancd2,hadh
fancd2,ncf2
fancd2,hspa2
fancd2,apoe
fancd2,psma7
fancd2,psmc1
fancd2,prpf19
fancd2,mybbp1a
fancd2,hsph1
fancd2,mcm6
fancd2,hnrnpd
fancd2,dnajb3
fancd2,h2afy
fancd2,cct5
fancd2,cct3
fancd2,cct6a
fancd2,psmd1
fancd2,lman2
fancd2,g6pdx
fancd2,cnot1
fancd2,pcbp2
fancd2,clic1
fancd2,cyth1
fancd2,smc2
fancd2,dock2
fancd2,ipo5
fancd2,luc7l3
fancd2,sec61b
fancd2,elmo1
fancd2,hnrnpk
fancd2,bri3bp
fancd2,bzw2
fancd2,snx1
fancd2,flna
fancd2,c1qbp
fancd2,hip1r
fancd2,ppm1g
fancd2,rhog
fancd2,snd1
fancd2,dbnl
fancd2,asph
fancd2,hnrnph1
fancd2,cd79b
fancd2,stom
fancd2,ran
fancd2,ssr1
fancd2,ddx6
fancd2,itm2b
fancd2,esyt1
fancd2,myl12b
fancd2,psmc2
fancd2,h2-d1
fancd2,sec31a
fancd2,arf5
fancd2,arf4
fancd2,p4hb
fancd2,capg
fancd2,lgals1
fancd2,hbb-b1
fancd2,etfb
fancd2,son
fancd2,prdx3
fancd2,gigyf2
fancd2,nup93
fancd2,ssrp1
fancd2,tmem165
fancd2,nsun2
fancd2,sp100
fancd2,psmd3
fancd2,prdx5
fancd2,mlec
fancd2,h1f0
fancd2,c3
fancd2,birc5
fancd2,psmd12
fancd2,lsp1
fancd2,pcmtd2
fancd2,cct4
fancd2,thy1
fancd2,xrn2
fancd2,ipo4
fancd2,tuba1c
fancd2,psmb10
fancd2,hnrnpc
fancd2,slc16a1
fancd2,tuba1b
fancd2,hp1bp3
fancd2,dstn
fancd2,gfpt1
fancd2,fabp5
fancd2,strap
fancd2,ftsj3
fancd2,eprs
fancd2,rpl18
fancd2,hsd17b12
fancd2,mcm4
fancd2,mrps26
fancd2,rrbp1
fancd2,eif2s2
fancd2,myo1d
fancd2,hk2
fancd2,mogs
fancd2,mfsd10
